dimension,value,cohort,signals,expectancy_r,mfe_r,mae_r,stop_first_rate,tp1_hit_rate,tp2_hit_rate,structural_clearance_r
year,2022,UNAVAILABLE,5,0.024479528460019127,1.6440548935517871,0.6659008506874697,0.4,0.4,0.2,1.4093190493683219
year,2023,KEPT_AVAILABLE,96,0.16161714978293376,1.4767726873316118,0.6812532366391015,0.4479166666666667,0.4583333333333333,0.10416666666666667,1.2196793146190352
year,2023,REJECTED_NEAR_EXTREME,57,-0.10104824624626031,1.188018637423275,0.7307443635427706,0.543859649122807,0.38596491228070173,0.07017543859649122,1.0989074878105642
year,2023,UNAVAILABLE,9,-0.34692022350844615,0.8446567137598264,0.9218714718902352,0.6666666666666666,0.3333333333333333,0.0,0.8424877336480073
year,2024,KEPT_AVAILABLE,105,0.2116828773874668,1.5131154519935028,0.7417725320520293,0.41904761904761906,0.45714285714285713,0.14285714285714285,1.0682863997593188
year,2024,REJECTED_NEAR_EXTREME,52,0.1257595539543323,1.498708304925626,0.7646831162188104,0.4230769230769231,0.40384615384615385,0.15384615384615385,1.0958187549333813
year,2025,KEPT_AVAILABLE,95,0.1263387076065226,1.4027613446989236,0.7384892555130689,0.47368421052631576,0.45263157894736844,0.09473684210526316,1.0707986756897283
year,2025,REJECTED_NEAR_EXTREME,73,-0.15119402316029054,1.1483630850233586,0.80764677903889,0.5616438356164384,0.3561643835616438,0.0273972602739726,1.0237162964955289
session,ASIA_7PM,KEPT_AVAILABLE,90,0.18197291291351433,1.5753537285637893,0.7600350496702032,0.4666666666666667,0.4888888888888889,0.1,1.0561596082056284
session,ASIA_7PM,REJECTED_NEAR_EXTREME,49,-0.12060118186285897,1.1786338661393003,0.7855495493038612,0.5714285714285714,0.3469387755102041,0.02040816326530612,0.9655011477640228
session,ASIA_7PM,UNAVAILABLE,3,-1.0290435465891856,0.5025339741364082,0.8024170214839587,0.6666666666666666,0.0,0.0,0.8499960406654118
session,LONDON_2AM,KEPT_AVAILABLE,105,0.16151944078355518,1.653573239702166,0.7845817594421352,0.5142857142857142,0.4857142857142857,0.19047619047619047,1.0853816140965153
session,LONDON_2AM,REJECTED_NEAR_EXTREME,66,-0.009575367265543701,1.523820926669386,0.812213081257939,0.5303030303030303,0.45454545454545453,0.13636363636363635,1.3641279159768658
session,LONDON_2AM,UNAVAILABLE,6,0.12785207295354317,1.7020545505232476,0.864419002568733,0.5,0.5,0.16666666666666666,0.7983539697168742
session,NEW_YORK_9AM,KEPT_AVAILABLE,101,0.1624457651779775,1.1732930935651666,0.6203828380674843,0.3564356435643564,0.39603960396039606,0.04950495049504951,1.2082196608002267
session,NEW_YORK_9AM,REJECTED_NEAR_EXTREME,67,-0.05546245925831046,1.062017295447152,0.7205399157648039,0.4626865671641791,0.3283582089552239,0.05970149253731343,0.8508894479253929
session,NEW_YORK_9AM,UNAVAILABLE,5,-0.1359732334459245,0.8204511332097327,0.8065164841170379,0.6,0.4,0.0,1.3355815659449495
direction,-1,KEPT_AVAILABLE,108,0.26731623303114954,1.652828302134951,0.6847061539323884,0.4166666666666667,0.5277777777777778,0.1388888888888889,1.2707203874816646
direction,-1,REJECTED_NEAR_EXTREME,103,0.040863987290092246,1.418457047582322,0.766717152163615,0.47572815533980584,0.4368932038834951,0.10679611650485436,1.1594614855544374
direction,-1,UNAVAILABLE,8,0.18628134071017352,1.3834298969187275,0.7473718850266429,0.5,0.5,0.125,1.3447431353388295
direction,1,KEPT_AVAILABLE,188,0.11103176893670827,1.3585328274413595,0.7419927725098959,0.4627659574468085,0.4148936170212766,0.10106382978723404,1.021690497666742
direction,1,REJECTED_NEAR_EXTREME,79,-0.1831190836961047,1.0554344746200661,0.7772442906620596,0.569620253164557,0.3037974683544304,0.0379746835443038,0.9484437809342346
direction,1,UNAVAILABLE,6,-0.7483558491595513,0.7924576193745922,0.9412287367060536,0.6666666666666666,0.16666666666666666,0.0,0.6344106421555913
