official_roll_date,largest_gap_eth_date,maintenance_gap_points,absolute_gap_points,gap_percentile,extreme_99pct
2023-03-13,2023-03-13,-8.75,8.75,0.7023498694516971,False
2023-06-12,2023-06-12,-8.25,8.25,0.6899477806788512,False
2023-09-11,2023-09-11,-8.5,8.5,0.6964751958224543,False
2023-12-11,2023-12-11,-2.5,2.5,0.3263707571801567,False
2024-03-11,2024-03-08,25.0,25.0,0.8701044386422977,False
2024-06-17,2024-06-13,-8.25,8.25,0.6899477806788512,False
2024-09-16,2024-09-12,-6.5,6.5,0.6298955613577023,False
2024-12-16,2024-12-13,90.5,90.5,0.9725848563968669,False
2025-03-17,2025-03-14,19.75,19.75,0.8328981723237598,False
2025-06-16,2025-06-16,-94.0,94.0,0.9758485639686684,False
2025-09-15,2025-09-12,21.5,21.5,0.8459530026109661,False
