market_date,first_timestamp,last_timestamp,first_open,last_close,volume,previous_close,previous_volume,open_gap_points,open_gap_abs_points,volume_ratio_previous,open_gap_abs_percentile_all_dates
2023-03-09,2023-03-09,2023-03-09 23:59:00,14859.5,14592.0,812557,14859.5,618935.0,0.0,0.0,1.3128309111619152,0.19414316702819956
2023-06-08,2023-06-08,2023-06-08 23:59:00,16833.25,17025.25,604152,16833.0,757491.0,0.25,0.25,0.7975698721172925,0.49349240780911063
2023-09-07,2023-09-07,2023-09-07 23:59:00,17734.25,17636.0,623545,17734.5,587400.0,-0.25,0.25,1.061533878106912,0.49349240780911063
2023-12-07,2023-12-07,2023-12-07 23:59:00,17965.75,18176.5,605032,17965.75,655857.0,0.0,0.0,0.9225059731008436,0.19414316702819956
2024-03-07,2024-03-07,2024-03-07 23:59:00,19915.0,20224.25,727114,19914.75,812192.0,0.25,0.25,0.895248906662464,0.49349240780911063
2024-06-13,2024-06-13,2024-06-13 23:59:00,21331.0,21334.5,540793,21330.5,675519.0,0.5,0.5,0.800559273684382,0.6735357917570499
2024-09-12,2024-09-12,2024-09-12 23:59:00,20740.75,20883.25,554026,20741.5,706047.0,-0.75,0.75,0.7846871383916368,0.7537960954446855
2024-12-12,2024-12-12,2024-12-12 23:59:00,22959.5,22915.75,502448,22959.5,530510.0,0.0,0.0,0.9471037303726603,0.19414316702819956
2025-03-13,2025-03-13,2025-03-13 23:59:00,20434.0,20361.75,743847,20433.25,685918.0,0.75,0.75,1.0844547015824049,0.7537960954446855
2025-06-12,2025-06-12,2025-06-12 23:59:00,22516.25,22282.25,416374,22515.75,509349.0,0.5,0.5,0.817463075415874,0.6735357917570499
2025-09-11,2025-09-11,2025-09-11 23:59:00,24407.25,24501.75,429086,24407.0,508505.0,0.25,0.25,0.843818644851083,0.49349240780911063
