observed_delta_r,lo95_delta_r,hi95_delta_r,prob_delta_positive,layer,contrast,challenger,comparator
2.070570554368543,-24.61114734285059,29.782761229107063,0.5636,UNFILTERED,MONDAY_WITH_ASIA,A1_ADD_MONDAY,A0_CURRENT
-14.751075357793608,-45.48713435554458,14.669495289563061,0.16685,UNFILTERED,REMOVE_ASIA_TUE_FRI,A2_REMOVE_ASIA,A0_CURRENT
-6.205534035975965,-27.030079408296828,15.799356775567281,0.28185,UNFILTERED,MONDAY_WITHOUT_ASIA,A3_ADD_MONDAY_REMOVE_ASIA,A2_REMOVE_ASIA
-23.027179948138112,-58.136544888701216,11.717773447731194,0.0978,UNFILTERED,REMOVE_ASIA_MON_FRI,A3_ADD_MONDAY_REMOVE_ASIA,A1_ADD_MONDAY
-20.956609393769575,-57.55722175880213,16.079586132751732,0.1365,UNFILTERED,COMBINED_VS_CURRENT,A3_ADD_MONDAY_REMOVE_ASIA,A0_CURRENT
-9.008722445022345,-33.79794133663382,16.525310629072596,0.2422,E5_EXCLUDE_COMPRESSED_RANGE,MONDAY_WITH_ASIA,A1_ADD_MONDAY,A0_CURRENT
-13.987030812495782,-38.996765877092294,9.546965792900254,0.1276,E5_EXCLUDE_COMPRESSED_RANGE,REMOVE_ASIA_TUE_FRI,A2_REMOVE_ASIA,A0_CURRENT
-14.254993811494298,-32.945453151561104,5.12330528453825,0.07165,E5_EXCLUDE_COMPRESSED_RANGE,MONDAY_WITHOUT_ASIA,A3_ADD_MONDAY_REMOVE_ASIA,A2_REMOVE_ASIA
-19.233302178967733,-46.13419847587374,6.748138853410959,0.07785,E5_EXCLUDE_COMPRESSED_RANGE,REMOVE_ASIA_MON_FRI,A3_ADD_MONDAY_REMOVE_ASIA,A1_ADD_MONDAY
-28.242024623990083,-58.6033461255723,2.607308354129583,0.03715,E5_EXCLUDE_COMPRESSED_RANGE,COMBINED_VS_CURRENT,A3_ADD_MONDAY_REMOVE_ASIA,A0_CURRENT
9.426207493476875,-12.697754083855617,32.27355153732725,0.79515,E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,MONDAY_WITH_ASIA,A1_ADD_MONDAY,A0_CURRENT
-16.76315087179908,-42.52772185809661,7.138321845030516,0.08945,E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,REMOVE_ASIA_TUE_FRI,A2_REMOVE_ASIA,A0_CURRENT
-2.738577254904825,-19.892768527772663,15.17916966718868,0.37665,E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,MONDAY_WITHOUT_ASIA,A3_ADD_MONDAY_REMOVE_ASIA,A2_REMOVE_ASIA
-28.92793562018078,-57.688293739039494,-0.6217105339924083,0.02275,E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,REMOVE_ASIA_MON_FRI,A3_ADD_MONDAY_REMOVE_ASIA,A1_ADD_MONDAY
-19.501728126703906,-49.542276787018906,10.708458409248268,0.10465,E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,COMBINED_VS_CURRENT,A3_ADD_MONDAY_REMOVE_ASIA,A0_CURRENT
