stage,arm,trades,net_r,expectancy_r,max_drawdown_r,return_dd,net_2022,net_2023,net_2024,net_2025
stage1,P0_TUE_FRI_ALL,669,-52.14567311853145,-0.07794569972874656,59.90420670063381,-0.870484328072735,-4.169693364967814,-17.59743010682795,-20.667645669078624,-9.710903977657058
stage1,P1_MON_FRI_ALL,837,-70.51995672281137,-0.08425323383848432,71.8530572814708,-0.981446849875333,-15.685065386880925,-18.401634097507134,-15.964144667971722,-20.4691125704516
stage1,P2_TUE_FRI_NO_ASIA,527,-37.629674788384904,-0.07140355747321614,55.17246465121357,-0.6820372268353467,-2.7131084769465135,-14.095826445510646,-20.34659260669714,-0.47414725923060175
stage1,P3_MON_FRI_NO_ASIA,646,-53.924482596307,-0.08347443126363313,64.89757843533503,-0.8309167136342106,-10.467592463172256,-14.979243779432858,-23.73603165113666,-4.741614702565219
stage1b,S1_LONDON_ONLY,284,-24.659904076806452,-0.0868306481577692,31.894809506024068,-0.7731635478853969,0.7752590795610559,-8.891703721872648,-9.631382718850617,-6.91207671564424
stage1b,S2_NEW_YORK_ONLY,266,-19.96180967717082,-0.07504439728259707,31.24231652824701,-0.638935005319558,-9.45284519345438,-6.129336274377511,-10.348800800444584,5.969172591105654
stage1b,S3_ASIA_ONLY,168,-14.755832358253684,-0.08783233546579575,20.072876390326904,-0.7351129988208617,3.424793376467272,-7.54781536402929,-4.035218118638456,-6.597592252053209
stage1b,S4_LONDON_NEW_YORK,527,-37.629674788384904,-0.07140355747321614,55.17246465121357,-0.6820372268353467,-2.7131084769465135,-14.095826445510646,-20.34659260669714,-0.47414725923060175
stage1b,S5_LONDON_ASIA,424,-39.36110896056773,-0.09283280415228237,41.53869136795382,-0.9475770098750379,0.3622225786365221,-13.622062323901456,-9.952435781232104,-16.14883343407069
stage1b,S6_ASIA_NEW_YORK,434,-34.717642035424504,-0.07999456690189978,43.80430761027794,-0.7925622827851432,-6.028051816987106,-13.6771516384068,-14.384018919083044,-0.6284196609475543
