instrument,arm_id,blocks,observed_expectancy_r,lo95_expectancy_r,hi95_expectancy_r,prob_expectancy_positive
NQ_PROXY,S123_M0_NO_MAP_CONTROL,556,0.0952196239912461,-0.1763303512192997,0.3902267207320077,0.7372
NQ_PROXY,S123_M1_EMA_MAP,265,0.2167901132249039,-0.2271067593867362,0.6969822832981567,0.8081
NQ_PROXY,S123_M2_BREAKOUT_MAP,179,0.1688352590448348,-0.3124526151503144,0.7542128086690809,0.7211
NQ_PROXY,S123_M3_EMA_PLUS_BREAKOUT,154,0.2982713590815536,-0.2737688354069447,0.9820010891218108,0.8249
NQ_PROXY,S123_B1_STRICT_BASE,100,-0.0555127798541316,-0.6813221346321586,0.7498203921309419,0.4099
NQ_PROXY,S123_C1_STRICT_CLOSE,247,0.1929425357666479,-0.2492701876684051,0.6650417151964272,0.787
ES_PROXY,S123_M0_NO_MAP_CONTROL,552,0.1065849031394444,-0.164160954513724,0.3961441896684862,0.7618
ES_PROXY,S123_M1_EMA_MAP,255,-0.0480057616389427,-0.4483354183476514,0.4143191050013038,0.3953
ES_PROXY,S123_M2_BREAKOUT_MAP,181,-0.0153581276676542,-0.4590159730205043,0.51176066102464,0.4502
ES_PROXY,S123_M3_EMA_PLUS_BREAKOUT,156,0.0689318356945262,-0.4668023230948924,0.6870345787093427,0.5541
ES_PROXY,S123_B1_STRICT_BASE,90,-0.1684802981038439,-0.8055093169186466,0.6148197999517929,0.3035
ES_PROXY,S123_C1_STRICT_CLOSE,236,0.0441896358635126,-0.3921672360751982,0.5468171631209306,0.5598
GBPUSD,S123_M0_NO_MAP_CONTROL,553,-0.4053739831389968,-0.6430388401593836,-0.1116304612169517,0.0037
GBPUSD,S123_M1_EMA_MAP,233,-0.5072151288056762,-0.8532134135731456,-0.0477490726368119,0.0164
GBPUSD,S123_M2_BREAKOUT_MAP,148,-0.6992884531271183,-0.9392340031393422,-0.4103670443120776,0.0
GBPUSD,S123_M3_EMA_PLUS_BREAKOUT,117,-0.760210504958052,-1.021026478540322,-0.4190667409538752,0.0001
GBPUSD,S123_B1_STRICT_BASE,86,-0.4914878326288313,-1.0413359514195015,0.5263385909018021,0.1297
GBPUSD,S123_C1_STRICT_CLOSE,213,-0.460930015933772,-0.7865564741740946,-0.0619190563298566,0.013
