partition,candidate,trades,net_r,expectancy_r,profit_factor,max_drawdown_r,lo95_expectancy_r,hi95_expectancy_r,return_to_drawdown
fresh_history,RTH_LONG_EMA_BREAK,858,-30.347800485290733,-0.03537039683600319,0.9595150167749026,106.95408529498053,-0.2746067688371134,0.2934993520123178,-0.28374606170106703
fresh_history,RTH_LONG_EMA_BREAK_COST_2T,858,-137.67876374452857,-0.16046475960900766,0.8338635872560427,151.51095918093137,-0.3954138703276204,0.1818835966613185,-0.9087049840408926
fresh_history,RTH_LONG_EMA_BREAK_DELAY_1M,832,-52.02580323372359,-0.06253101350207163,0.9278313700676593,108.94676331618868,-0.2982099027340067,0.2774229204722788,-0.4775341795398978
fresh_history,RTH_LONG_FULL,76,-13.309740294127725,-0.17512816176483847,0.7641772150357582,25.710845463413577,-0.5269408255616857,0.2242227887783697,-0.5176702692670075
fresh_history,RTH_LONG_EMA_BREAK_RETEST,770,-38.18447728687597,-0.049590230242696064,0.9412673192770371,106.00626774272123,-0.3090712550864585,0.3334326201931717,-0.36020961873264185
fresh_holdout,RTH_LONG_EMA_BREAK,522,-104.8371218088532,-0.20083739810125134,0.7429473324791537,108.75988248687611,-0.3400920876480028,-0.0512712220607302,-0.9639319150745105
fresh_holdout,RTH_LONG_EMA_BREAK_COST_2T,522,-154.9395355951665,-0.2968190337072155,0.6513765048474586,155.5557894742984,-0.4343658686646945,-0.1398208858165455,-0.9960383738772145
fresh_holdout,RTH_LONG_EMA_BREAK_DELAY_1M,511,-103.14756710094798,-0.20185433874940897,0.7395239107485113,106.52531259508312,-0.3401374559948601,-0.0498811601416404,-0.9682916162191948
fresh_holdout,RTH_LONG_FULL,49,-11.243529772347303,-0.22945979127239394,0.6322203835476565,17.351439526868454,-0.541908303956528,0.1243655463992931,-0.6479882983159327
fresh_holdout,RTH_LONG_EMA_BREAK_RETEST,462,-73.8617928541972,-0.15987401050692035,0.7813011313759468,80.40088515719556,-0.3087753240995113,0.0103237843998436,-0.9186689015896595
