partition,scenario_id,blocks,observed_expectancy_r,lo95_expectancy_r,hi95_expectancy_r,prob_expectancy_positive
older_history,S123_M0_NO_MAP_CONTROL__BOTH_FULL,1111,-0.027560637,-0.210489832,0.163672134,0.374
older_history,S123_M0_NO_MAP_CONTROL__LONG_FULL,780,0.053993554,-0.164709229,0.282577394,0.6713
older_history,S123_M0_NO_MAP_CONTROL__SHORT_FULL,599,-0.12375422,-0.41177297,0.208661916,0.2118
older_history,S123_M0_NO_MAP_CONTROL__SHORT_EMA_BREAK,1883,-0.124801798,-0.218356779,-0.026161363,0.0071
older_history,S123_M0_NO_MAP_CONTROL__SHORT_EMA_BREAK_RETEST,1869,-0.114272193,-0.221493979,0.000438012,0.0258
older_history,S123_M0_NO_MAP_CONTROL__SHORT_FULL_COST_2T,599,-0.20507584,-0.495686058,0.113315974,0.1024
older_history,S123_M0_NO_MAP_CONTROL__SHORT_FULL_DELAY_1M,593,-0.14869749,-0.439575741,0.186290785,0.1674
older_history,S123_M0_NO_MAP_CONTROL__SHORT_FULL_DELAY_5M,572,-0.17939704,-0.468561651,0.14401365,0.1294
forward_2026,S123_M0_NO_MAP_CONTROL__BOTH_FULL,87,0.21550822,-0.383127033,0.948672249,0.7134
forward_2026,S123_M0_NO_MAP_CONTROL__LONG_FULL,61,0.272982492,-0.550303594,1.338104856,0.6818
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_FULL,40,0.049381269,-0.67184868,0.913892734,0.5249
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_EMA_BREAK,150,0.079974492,-0.224542862,0.46230574,0.6697
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_EMA_BREAK_RETEST,149,-0.053524931,-0.335488096,0.275018936,0.357
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_FULL_COST_2T,40,0.03090903,-0.679905261,0.915268486,0.4981
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_FULL_DELAY_1M,40,0.042125575,-0.680138228,0.984934949,0.5078
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_FULL_DELAY_5M,40,0.157415225,-0.704722427,1.372113548,0.5766
