partition,scenario,trades,net_r,expectancy_r,profit_factor,max_drawdown_r,return_to_drawdown
primary_forward,RTH_LONG_FULL,177,-57.9767981196228,-0.3275525317492813,0.6255879877405095,61.432067293241495,-0.94375463294886
primary_forward,RTH_LONG_FULL_COST_2T,177,-87.2028670132033,-0.4926715650463463,0.5036429469556896,89.8601722913818,-0.9704284422072786
primary_forward,RTH_LONG_FULL_DELAY_1M,175,-57.793872319784064,-0.3302506989701946,0.6221150103823224,61.90449773354797,-0.9335973061043636
primary_forward,RTH_LONG_FULL_DELAY_5M,157,-62.70333441296492,-0.3993842956239803,0.5412636869261979,67.41849896929115,-0.9300612646615884
crisis_regime,RTH_LONG_FULL,134,3.1187502201367057,0.0232742553741545,1.032066221488719,16.059597390042615,0.194198530909026
crisis_regime,RTH_LONG_FULL_COST_2T,134,-9.836701999097093,-0.0734082238738588,0.9069616920970434,21.063406511275613,-0.4670043278057293
crisis_regime,RTH_LONG_FULL_DELAY_1M,134,-1.0583365702398355,-0.0078980341062674,0.9891729184367822,16.687862640077494,-0.0634195398815267
crisis_regime,RTH_LONG_FULL_DELAY_5M,130,-0.92602425324402,-0.0071232634864924,0.9901846542951678,17.553051807607645,-0.0527557409044205
recent_holdout,RTH_LONG_FULL,148,10.551221576771692,0.0712920376808898,1.1089652607355716,15.372823198863902,0.6863554885319607
recent_holdout,RTH_LONG_FULL_COST_2T,148,-1.217057117677001,-0.0082233589032229,0.9884019030576098,23.06928508804241,-0.0527566031210842
recent_holdout,RTH_LONG_FULL_DELAY_1M,148,17.29974489613954,0.116890168217159,1.1774276081527577,14.9439901453236,1.157638938992015
recent_holdout,RTH_LONG_FULL_DELAY_5M,143,19.222754718602356,0.1344248581720444,1.208862276663796,13.012762946285084,1.4772231537569134
monitoring_2026_ytd,RTH_LONG_FULL,29,4.273506506347905,0.1473622933223415,1.267659357490268,5.865785452091815,0.7285480420740444
monitoring_2026_ytd,RTH_LONG_FULL_COST_2T,29,2.564875188739258,0.0884439720254916,1.1519676549178886,6.574765072403361,0.3901090245041539
monitoring_2026_ytd,RTH_LONG_FULL_DELAY_1M,29,0.3979557871661017,0.0137226133505552,1.02488842554946,5.868954842608723,0.067806921642071
monitoring_2026_ytd,RTH_LONG_FULL_DELAY_5M,29,3.287897137459587,0.1133757633606754,1.204633644473878,5.270336297297831,0.623849600372029
combined_2015_2025,RTH_LONG_FULL,459,-44.30682632271441,-0.09652903338282005,0.873023871365884,70.45574114091217,-0.6288604104263604
