gate_group,gate,passed
primary,primary_forward_trade_count_gte_100,True
primary,primary_forward_expectancy_positive,False
primary,primary_forward_date_block_lo95_positive,False
primary,primary_forward_positive_years_gte_4_of_5,False
primary,primary_forward_largest_positive_year_share_lte_0_50,False
primary,primary_forward_two_tick_expectancy_positive,False
primary,primary_forward_one_minute_delay_expectancy_positive,False
primary,primary_forward_return_to_drawdown_gte_1_50,False
primary,primary_forward_max_drawdown_lte_35R,False
primary,primary_forward_matched_time_control_passed,False
cross_block,crisis_regime_expectancy_positive,True
cross_block,crisis_regime_positive_years_gte_2_of_3,False
cross_block,recent_holdout_expectancy_positive,True
cross_block,recent_holdout_positive_years_gte_2_of_3,True
cross_block,recent_holdout_two_tick_expectancy_positive,False
cross_block,crisis_regime_max_drawdown_lte_35R,True
cross_block,recent_holdout_max_drawdown_lte_35R,True
cross_block,combined_2015_2025_expectancy_positive,False
cross_block,combined_2015_2025_return_to_drawdown_gte_1_50,False
