partition,label,sha256,rows,start,end,duplicate_timestamps
primary_forward,2015,9a6c32d769fd1561798bb4ae4e0534323e7a440de432b185f53fd03461a2a076,228274,2015-01-02T00:00:00,2015-12-31T17:59:00,0
primary_forward,2016,51c1ad36103663068bfbfb8219c01deb3a958af4c0f5c403e8a3736442de2848,210787,2016-01-04T07:00:00,2016-12-30T21:00:00,0
primary_forward,2017,80d7afb37d545501ff780c60b885acff1f228cc1a69d9a0d07caf5f32ae53276,190503,2017-01-03T07:00:00,2017-12-29T20:59:00,0
primary_forward,2018,3b24b54548e3e2358844684e49eab189323b18a31db430a6858685433aba2266,277562,2018-01-02T07:05:00,2018-12-31T21:14:00,0
primary_forward,2019,2872dd2a31a52c8a34581ced9160a94aafdd5568a1f67dfe2c9bab16b67b9ff0,309032,2019-01-01T23:00:00,2019-12-31T21:14:00,0
crisis_regime,2020,6752f34278c6de78f2c4a3c2e07b168bed4686e795dec4b7d2ba70fcd1dac592,335296,2020-01-01T23:00:00,2020-12-31T21:14:00,0
crisis_regime,2021,8ab221f74747863e07186f64d895f051372c9e85ab4fa68b42982d25fc2fe7bb,334368,2021-01-03T23:00:00,2021-12-31T21:14:00,0
crisis_regime,2022,da4616c32688f632625fa00cf82af703565fd42a7f001ac7480845ac9ed4e6b7,341682,2022-01-02T23:00:00,2022-12-30T21:13:00,0
recent_holdout,2023,43bc304f74fd2636e6b9fac6c1a8a74a745b79222c37b75d02a6e0a3446f0799,332236,2023-01-02T23:00:00,2023-12-29T21:13:00,0
recent_holdout,2024,58c53a712940f08c7fe7d72786d80bab008e60dab64c978c84bb860940ca89d2,335015,2024-01-01T23:00:00,2024-12-31T21:13:00,0
recent_holdout,2025,66ea6ec448cd3afeb4e412f397228e59cdd3554d0f2ca6af77c654a99286c0a9,339139,2025-01-01T23:00:00,2025-12-31T21:13:00,0
monitoring_2026_ytd,2026_ytd,8c9a65e196eafbbb2d046fb2c5d8327c19f31d10ce7d0a1ad2fb1ee8f8b1c008,191015,2026-01-01T23:00:00,2026-07-23T23:59:00,0
